[アラーム用辞書]
98,M967,小型空気圧縮機運転中,ON,OFF,5,DEV1.M967,1,-1,-1
99,M968,空き,ON,OFF,5,DEV1.M968,1,-1,-1
100,M969,冷媒ﾎﾟﾝﾌﾟ1運転中,ON,OFF,5,DEV1.M969,1,-1,-1
101,M970,空き,ON,OFF,5,DEV1.M970,1,-1,-1
102,M971,冷媒ﾎﾟﾝﾌﾟ2運転中,ON,OFF,5,DEV1.M971,1,-1,-1
103,M972,主空気調和器用送風機1運転中,ON,OFF,5,DEV1.M972,1,-1,-1
104,M973,主空気調和器用送風機2運転中,ON,OFF,5,DEV1.M973,1,-1,-1
105,M974,新鮮空気調和機用送風機運転中,ON,OFF,5,DEV1.M974,1,-1,-1
106,M975,新鮮空気除湿機運転中,ON,OFF,5,DEV1.M975,1,-1,-1
107,M976,排ｶﾞｽ送風機運転中,ON,OFF,5,DEV1.M976,1,-1,-1
108,M977,貫流ﾎﾞｲﾗ運転中,ON,OFF,5,DEV1.M977,1,-1,-1
109,M978,ﾌﾞﾗｲﾝﾎﾟﾝﾌﾟ運転中,ON,OFF,5,DEV1.M978,1,-1,-1
110,M979,温水ﾎﾟﾝﾌﾟ運転中,ON,OFF,5,DEV1.M979,1,-1,-1
111,M980,動力装置冷却用給気送風機運転中,ON,OFF,5,DEV1.M980,1,-1,-1
112,M981,排風送風機運転中,ON,OFF,5,DEV1.M981,1,-1,-1
113,M982,主空調器霜付検知,ON,OFF,5,DEV1.M982,1,-1,-1
114,M983,除霜運転中,ON,OFF,5,DEV1.M983,1,-1,-1
115,M984,空き,ON,OFF,5,DEV1.M984,1,-1,-1
116,M985,動力機器連動確認,ON,OFF,5,DEV1.M985,1,-1,-1
117,M986,ﾕｰﾃｨﾘﾃｨｰ運転中,ON,OFF,5,DEV1.M986,1,-1,-1
118,M987,空き,ON,OFF,5,DEV1.M987,1,-1,-1
119,M988,空き,ON,OFF,5,DEV1.M988,1,-1,-1
120,M989,空き,ON,OFF,5,DEV1.M989,1,-1,-1
121,M990,冷凍機1高段運転中,ON,OFF,5,DEV1.M990,1,-1,-1
122,M991,冷凍機1低段運転中,ON,OFF,5,DEV1.M991,1,-1,-1
123,M992,冷凍機2高段運転中,ON,OFF,5,DEV1.M992,1,-1,-1
124,M993,冷凍機2低段運転中,ON,OFF,5,DEV1.M993,1,-1,-1
125,M994,空き,ON,OFF,5,DEV1.M994,1,-1,-1
126,M995,空き,ON,OFF,5,DEV1.M995,1,-1,-1
127,M996,空き,ON,OFF,5,DEV1.M996,1,-1,-1
128,M997,空き,ON,OFF,5,DEV1.M997,1,-1,-1
129,M998,空き,ON,OFF,5,DEV1.M998,1,-1,-1
130,M999,空き,ON,OFF,5,DEV1.M999,1,-1,-1
131,M0,非常停止,ON,OFF,6,DEV1.M0,1,-1,-1
132,M1,空気圧縮機異常,ON,OFF,6,DEV1.M1,1,-1,-1
133,M2,空気圧縮機異常(ﾌﾞﾚｰｶOFF),ON,OFF,6,DEV1.M2,1,-1,-1
134,M3,冷却水ﾎﾟﾝﾌﾟ異常,ON,OFF,6,DEV1.M3,1,-1,-1
135,M4,冷凍機1ｵｲﾙﾎﾟﾝﾌﾟ異常,ON,OFF,6,DEV1.M4,1,-1,-1
